id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,observerUid,processingStatus,duplicateQuantity,labelProject,recordEnteredBy,dateEntered,dateLastModified,modified,sourcePrimaryKey.dbpk,recordID,references
874602,UCSB,IZC,,PreservedSpecimen,156f591d-5f2b-458d-aace-d5732eae8ec0,UCSB-IZC00015098,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,,,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,,,,,,,,0,,NA,NA,,NA,,,,,,,NA,NA,NA,NA,NA,,,NA,NA,unprocessed,NA,,,4/22/22 11:09,4/22/22 11:09,4/22/22 11:09,NA,urn:uuid:156f591d-5f2b-458d-aace-d5732eae8ec0,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=874602
828304,UCSB,IZC,,PreservedSpecimen,d9b72787-5b67-45dc-83eb-5b289dc324cb,UCSB-IZC00000646,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,,,,,,,,,,,,NA,NA,NA,NA,NA,19-May,,,,,,NA,NA,,,NA,NA,,,NA,NA,Adult,Male,1,Pinned,United States,California,Santa Barbara,Isla Vista,Isla Vista,,0,,34.413329,-119.860972,WGS84,1797,,seltmann (2022-05-05 15:06:45),,georef batch tool 2022-05-05; GeoLocate,reviewed - high confidence,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,seltmann,2/15/22 18:40,5/5/22 15:06,12/28/20 12:48,100238,urn:uuid:fb784575-87d9-476c-9636-ca501478f48f,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=828304
828329,UCSB,IZC,,PreservedSpecimen,1544d222-b03b-4282-900b-4fd2f8d9fdf3,UCSB-IZC00005582,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Augochlorini|Augochloropsis,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Augochloropsis metallica,236470,"(Fabricius, 1793)",Augochloropsis,,metallica,,,Species,Jamie Pawelek,2017,,,,,,A. M. Wenner,,,6/26/59,1959,6,26,177,NA,26-Jun-59,,,,,,NA,NA,,,NA,NA,,,NA,NA,Adult,Female,1,Pinned,United States,Michigan,Livingston,,E.S George Reserve,,0,,NA,NA,,NA,,,,,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,seltmann,2/15/22 18:40,2/15/22 18:41,12/28/20 12:48,100263,urn:uuid:b88bb182-1e09-417e-94e7-ca5f510191c8,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=828329
828333,UCSB,IZC,,PreservedSpecimen,0078adc4-0e46-41b0-b357-245c0d114351,UCSB-IZC00005586,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Augochlorini|Augochlorella,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Augochlorella pomoniella,236371,"(Cockerell, 1915)",Augochlorella,,pomoniella,,,Species,Jamie Pawelek,2017,,,,,,,,,5/31/76,1976,5,31,152,NA,5/31/76,,,,,,NA,NA,,,NA,NA,,,NA,NA,Adult,,1,Pinned,United States,California,Monterey,,Arroyo Seco,,0,,NA,NA,,NA,,,,,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,seltmann,2/15/22 18:40,2/15/22 18:41,12/28/20 12:48,100267,urn:uuid:ebd6dbab-0cb5-44bd-9b1e-f7dceb4d5d67,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=828333
828334,UCSB,IZC,,PreservedSpecimen,67b222b6-73f2-4057-b33e-a176265b9d46,UCSB-IZC00005587,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Jamie Pawelek,2017,,,,,,Jason Garland,,,2016-06-00,2016,6,0,NA,NA,Jun-16,,,,,,NA,NA,,,NA,NA,,,NA,NA,Adult,Female,1,Pinned,United States,California,Santa Barbara,Goleta,UCSB Lagoon,,0,,34.4059,-119.8434,WGS84,10,,,,,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,seltmann,2/15/22 18:40,2/15/22 18:41,12/28/20 12:48,100268,urn:uuid:fe4c53db-8dcf-413d-9691-4c824a651833,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=828334
828335,UCSB,IZC,,PreservedSpecimen,bef30e9b-90c2-4d37-a4f3-c17cde909980,UCSB-IZC00005588,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Jamie Pawelek,2017,,,,,,Cynthia Ibarra,,,6/20/16,2016,6,20,172,NA,6/20/16,,,,,,NA,NA,,,NA,NA,,,NA,NA,Adult,Male,1,Pinned,United States,California,Santa Barbara,,UCSB West Campus Lagoon,,0,,34.408742,-119.849144,,NA,,,,,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,seltmann,2/15/22 18:40,2/15/22 18:41,12/28/20 12:48,100269,urn:uuid:1298b749-d077-4d77-9150-24871b5b2c95,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=828335
828339,UCSB,IZC,,PreservedSpecimen,2fa987eb-1f99-4fb7-b7e6-e4dc0ede8ca5,UCSB-IZC00005593,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Jamie Pawelek,2017,,,,,,,,,8/10/36,1936,8,10,223,NA,VIII-10-1936,,,,,,NA,NA,,,NA,NA,,,NA,NA,Adult,Male,1,Pinned,United States,Michigan,Cheboygan,,Douglas Lake,,0,,NA,NA,,NA,,,,,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,seltmann,2/15/22 18:40,2/15/22 18:41,12/28/20 12:48,100273,urn:uuid:577407ea-bb9d-4b24-8b56-f0077bf60026,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=828339
828340,UCSB,IZC,,PreservedSpecimen,c938d77a-e3e3-41e3-9401-6fa20e169276,UCSB-IZC00005594,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,,,,,,,,,,,,NA,NA,NA,NA,NA,,,,,,,NA,NA,,,NA,NA,,,NA,NA,Adult,,1,Pinned,United States,California,Santa Barbara,,Santa Cruz Island,Specimen came with the Santa Cruz Island collection all of specimens collected on the island,0,,34.008126,-119.724201,WGS84,20754,,rbehm (2018-09-17 15:29:17),,georef batch tool 2018-09-17; GeoLocate,reviewed - high confidence,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,seltmann,2/15/22 18:40,2/15/22 18:41,12/28/20 12:48,100274,urn:uuid:7f2c3b15-c94b-40d6-966e-7a57ba984d22,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=828340
828345,UCSB,IZC,,PreservedSpecimen,38ba93c5-c560-4dea-afe0-6abbea8f6fd1,UCSB-IZC00005600,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Jamie Pawelek,2017,,,,,,Maribel Lopez,,,4/10/16,2016,4,10,101,NA,4/10/16,,,,,,NA,NA,,,NA,NA,,,NA,NA,Adult,Female,1,Pinned,United States,California,Ventura,Ojai,Ojai,,0,,34.4251,-119.297,,10,,,,Google Earth,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,seltmann,2/15/22 18:40,2/15/22 18:41,12/28/20 12:48,100279,urn:uuid:7334a183-de04-4325-a578-31c0a1354a7e,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=828345
828346,UCSB,IZC,,PreservedSpecimen,5eba78ee-bbda-4272-a14d-499eaaca2593,UCSB-IZC00005601,,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Hymenoptera|Apocrita|Aculeata|Apoidea|Halictidae|Halictinae|Halictini|Agapostemon,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Agapostemon texanus,233806,"Cresson, 1872",Agapostemon,,texanus,,,Species,Jamie Pawelek,,,,,,,,,,,NA,NA,NA,NA,NA,,"locality information not on label, likely collected in Santa Barbara County, California USA",,,,,NA,NA,,,NA,NA,,,NA,NA,Adult,Female,1,Pinned,,,,,,"locality information not on label, likely collected in Santa Barbara County, California USA",0,,NA,NA,,NA,,,,,,,NA,NA,NA,NA,NA,,,NA,NA,,NA,,seltmann,2/15/22 18:40,2/15/22 18:41,12/28/20 12:48,100280,urn:uuid:dd598f17-8945-4d91-9f1f-eea2c309d520,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=828346
