subject_id,classification_id,user_name,scale_x1,scale_y1,scale_x2,scale_y2,tegula_x1,tegula_y1,tegula_x2,tegula_y2,T3_1 Were you able to measure the bee?,Filename,started_at,finished_at,gold_standard,expert,workflow_version,catalogNumber,itd_pixels,scaledist_pixels,itd_cm
78052006,442731710,not-logged-in-4a7e641d386b32fceb9e,1924,182,2454,184,1085,1338,1086,1603,Yes,UCSB-IZC00036315.jpg,10/5/22 17:00,10/5/22 17:04,NA,NA,1.3,UCSB-IZC00036315,265.0018867857359,530.0037735714718,0.25
78052295,442731893,not-logged-in-f7d3c05fdaa8c7cbd9e5,2752,161,3378,160,1547,2182,1552,2465,Yes,UCSB-IZC00044451.jpg,10/5/22 17:04,10/5/22 17:04,NA,NA,1.3,UCSB-IZC00044451,283.0441661649291,626.0007987215351,0.2260733266978115
78051938,442732069,not-logged-in-4a7e641d386b32fceb9e,1595,111,2046,110,764,1500,779,1718,Yes,UCSB-IZC00034418.jpg,10/5/22 17:04,10/5/22 17:05,NA,NA,1.3,UCSB-IZC00034418,218.51544567833184,451.00110864608746,0.2422559961485668
78051927,442732144,not-logged-in-640e43dd07b504c49a01,1885,283,2398,286,1110,1662,1122,1850,Yes,UCSB-IZC00034400.jpg,10/5/22 17:05,10/5/22 17:05,NA,NA,1.3,UCSB-IZC00034400,188.38258942906586,513.0087719,0.18360562212996068
78052245,442732236,not-logged-in-c5c1f3d1efb0506e0bc5,2005,164,2506,164,1133,1253,1123,1517,Yes,UCSB-IZC00042554.jpg,10/5/22 17:05,10/5/22 17:06,NA,NA,1.3,UCSB-IZC00042554,264.18932605235966,501,0.2636620020482631
78052094,442732338,not-logged-in-150ee8ec4b4151225e74,1997,133,2509,135,1128,1521,1175,1763,Yes,UCSB-IZC00037695.jpg,10/5/22 17:06,10/5/22 17:06,NA,NA,1.3,UCSB-IZC00037695,246.52180430947686,512.0039062,0.24074211281142105
78051865,442732499,not-logged-in-150ee8ec4b4151225e74,1409,130,1843,125,685,1291,701,1468,Yes,UCSB-IZC00005939.jpg,10/5/22 17:06,10/5/22 17:07,NA,NA,1.3,UCSB-IZC00005939,177.72169254201918,434.0288009,0.2047349071980244
78052080,442732603,not-logged-in-4928b087e1c04e3286cf,1236,166,1695,162,253,1598,337,1795,Yes,UCSB-IZC00037203.jpg,10/5/22 17:07,10/5/22 17:07,NA,NA,1.3,UCSB-IZC00037203,214.1611542740653,459.0174288630008,0.2332821596824205
78051920,442732717,not-logged-in-f7d3c05fdaa8c7cbd9e5,1764,119,2277,119,899,1527,976,1791,Yes,UCSB-IZC00031260.jpg,10/5/22 17:07,10/5/22 17:08,NA,NA,1.3,UCSB-IZC00031260,275,513,0.2680311890838207
78052300,442732814,not-logged-in-4a7e641d386b32fceb9e,2924,193,3570,195,1797,2051,1805,2388,Yes,UCSB-IZC00046702.jpg,10/5/22 17:08,10/5/22 17:08,NA,NA,1.3,UCSB-IZC00046702,337.0949421157191,646.0030959678135,0.2609081475149111
