catalogNumber,tegula_cm,scale_cm,data_collector,Filename,notes,itd_corrected
UCSB-IZC00000646,0.19,0.502,alec,UCSB-IZC00000646.jpg,NA,0.1892430278884462
UCSB-IZC00003496,0.189,0.501,alec,UCSB-IZC00003496.jpg,NA,0.18862275449101795
UCSB-IZC00003658,0.209,0.5,alec,UCSB-IZC00003658.jpg,NA,0.209
UCSB-IZC00003718,0.155,0.502,alec,UCSB-IZC00003718.jpg,NA,0.15438247011952191
UCSB-IZC00004438,0.211,0.499,alec,UCSB-IZC00004438.jpg,NA,0.21142284569138275
UCSB-IZC00005582,0.185,0.503,alec,UCSB-IZC00005582.jpg,NA,0.18389662
UCSB-IZC00005586,0.183,0.503,alec,UCSB-IZC00005586.jpg,NA,0.18190854870775347
UCSB-IZC00005587,0.198,0.501,alec,UCSB-IZC00005587.jpg,NA,0.19760479041916168
UCSB-IZC00005588,0.157,0.501,alec,UCSB-IZC00005588.jpg,NA,0.156686627
UCSB-IZC00005593,0.212,0.501,alec,UCSB-IZC00005593.jpg,NA,0.2115768463073852
UCSB-IZC00005594,0.199,0.499,alec,UCSB-IZC00005594.jpg,NA,0.19939879759519039
UCSB-IZC00005600,0.18,0.5,alec,UCSB-IZC00005600.jpg,NA,0.18
UCSB-IZC00005601,0.184,0.498,alec,UCSB-IZC00005601.jpg,NA,0.18473895582329317
UCSB-IZC00005603,0.137,0.502,alec,UCSB-IZC00005603.jpg,NA,0.1364541832669323
UCSB-IZC00005612,0.18,0.498,alec,UCSB-IZC00005612.jpg,NA,0.18072289156626506
UCSB-IZC00005618,0.182,0.501,alec,UCSB-IZC00005618.jpg,NA,0.18163672654690619
UCSB-IZC00005621,0.199,0.499,alec,UCSB-IZC00005621.jpg,NA,0.19939879759519039
UCSB-IZC00005622,0.186,0.503,alec,UCSB-IZC00005622.jpg,NA,0.1848906560636183
UCSB-IZC00005623,0.152,0.503,alec,UCSB-IZC00005623.jpg,NA,0.15109343936381708
UCSB-IZC00005624,0.203,0.5,alec,UCSB-IZC00005624.jpg,NA,0.203
UCSB-IZC00005625,0.186,0.501,alec,UCSB-IZC00005625.jpg,NA,0.18562874251497005
UCSB-IZC00005627,0.212,0.501,alec,UCSB-IZC00005627.jpg,NA,0.2115768463073852
UCSB-IZC00005632,0.193,0.5,alec,UCSB-IZC00005632.jpg,NA,0.193
UCSB-IZC00005637,0.213,0.502,alec,UCSB-IZC00005637.jpg,NA,0.21215139442231076
UCSB-IZC00005639,0.193,0.503,alec,UCSB-IZC00005639.jpg,NA,0.1918489065606362
UCSB-IZC00005904,0.185,0.499,alec,UCSB-IZC00005904.jpg,NA,0.18537074148296592
UCSB-IZC00005909,0.136,0.499,alec,UCSB-IZC00005909.jpg,NA,0.13627254509018036
UCSB-IZC00005919,0.143,0.498,alec,UCSB-IZC00005919.jpg,NA,0.143574297
UCSB-IZC00005933,0.184,0.501,alec,UCSB-IZC00005933.jpg,NA,0.18363273453093812
UCSB-IZC00005937,0.162,0.501,alec,UCSB-IZC00005937.jpg,NA,0.16167664670658682
UCSB-IZC00005939,0.184,0.501,alec,UCSB-IZC00005939.jpg,NA,0.18363273453093812
UCSB-IZC00007085,0.221,0.502,alec,UCSB-IZC00007085.jpg,NA,0.2201195219123506
UCSB-IZC00008208,0.208,0.499,alec,UCSB-IZC00008208.jpg,NA,0.20841683366733466
UCSB-IZC00010839,0.147,0.502,alec,UCSB-IZC00010839.jpg,NA,0.14641434262948205
UCSB-IZC00010867,0.196,0.501,alec,UCSB-IZC00010867.jpg,NA,0.19560878243512975
UCSB-IZC00010886,0.215,0.501,alec,UCSB-IZC00010886.jpg,NA,0.21457085828343314
